I#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic
1,weirandkestner.com,subdomains,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,www.brashierlaw.com,subdomains,132.148.180.237,NA,0.6,72856491,76,29,0,0,48,48,8,779,778,340,0,12,0,0,0,0,194,122
3,www.rubensteinlaw.com,subdomains,52.73.197.11,NA,34,2846509,414,178,1,2,473,338,250,34582,34164,1292,418,30261,0,0,1,4,16040,4963
4,www.tn-injury.us,subdomains,NA,NA,4.2,33183105,22,12,0,1,153,76,0,928,928,126,0,2,0,0,0,7,13,1
5,www.nuttallbrown.com,subdomains,35.209.40.117,NA,2.6,42677164,28,15,0,0,31,31,4,98,96,48,2,8,0,0,0,0,47,3
6,www.chriswickersham.com,subdomains,107.180.41.149,NA,0.1,93662659,8,3,0,0,9,9,6,9,9,6,0,1,0,0,0,0,6,14
7,jsh-law.com,subdomains,199.250.198.12,NA,7,24637326,38,21,0,0,47,46,18,575,555,446,20,50,0,0,0,0,199,25
8,www.m-n-law.com,subdomains,170.249.204.138,NA,31,3884290,376,214,0,1,425,369,284,134400,134395,6051,5,100,0,0,0,9,4468,1262
9,jstillman.com,subdomains,NA,NA,13,14795142,151,79,0,0,140,132,0,6322,6321,694,1,28,0,0,0,0,415,71
10,www.nstlaw.com,subdomains,64.41.159.231,NA,12,15057543,239,136,0,2,669,290,48,48970,48838,27675,123,1601,0,0,0,417,4751,1572
11,www.craigswapp.com,subdomains,192.124.249.108,NA,41,1444859,740,482,0,3,791,629,282,6779,6645,1467,133,465,0,0,0,8,5789,3506
12,www.baileygreer.com,subdomains,50.28.36.84,NA,23,7671071,254,111,0,1,354,257,369,27503,27499,20885,1,87,0,0,0,220,6667,1673
13,www.gruber-law.com,subdomains,104.196.59.135,NA,52,583860,897,382,0,1,616,507,150,62924,62890,26704,31,33997,2,0,0,1,6164,3023
14,www.davidgordonlaw.com,subdomains,35.227.42.250,NA,27,5626720,313,168,1,7,342,283,116,2504,2428,974,76,83,0,0,4,32,3065,1432
15,www.roblevine.com,subdomains,97.107.140.112,NA,23,7725985,175,103,0,1,238,191,76,4169,4016,534,152,118,0,1,0,7,3172,883
16,www.forthepeople.com,subdomains,23.185.0.4,NA,64,182091,6883,1899,6,109,6365,4068,997,300218,299189,133748,417,20717,33,232,227,1236,100699,125095
17,www.handylawutah.com,subdomains,104.16.112.239,NA,9,19739321,142,62,0,1,192,158,83,6737,6733,3603,4,791,0,0,0,31,548,131
18,www.hughesandcoleman.com,subdomains,104.26.13.156,NA,36,2265626,563,233,0,1,573,442,331,24854,24841,20311,8,1358,0,0,0,2,3945,4425
19,christensenhymas.com,subdomains,104.196.130.104,NA,33,3166389,426,302,0,15,429,373,956,3655,3519,799,136,85,0,0,0,67,3549,504
20,auto-accident-attorney-free-consultation-lawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,www.slcinjurylawyers.com,subdomains,NA,NA,2.4,43596434,22,14,0,0,24,24,0,89,89,35,0,10,0,0,0,0,204,8
22,www.harrellandharrell.com,subdomains,104.154.250.30,NA,26,5990760,242,144,0,0,257,218,203,2237,2176,1434,61,70,0,0,0,0,3315,2159
23,www.hupy.com,subdomains,104.31.92.26,NA,47,859753,1361,1041,0,4,1462,1098,494,143248,142400,11853,843,4577,2,0,0,1101,16233,5913
24,www.eckolaw.com,subdomains,64.70.194.131,NA,23,7794272,214,122,0,2,270,219,76,5769,3982,2197,1787,33,0,0,0,24,924,336
25,www.greenberglawoffices.com,subdomains,104.197.95.149,NA,23,7662859,161,121,0,0,172,164,85,24108,24107,381,1,24,0,0,0,0,803,394
26,myutahinjurylawyer.com,subdomains,104.31.95.184,NA,22,8098145,103,74,0,1,141,126,2,643,640,129,3,13,0,0,0,4,116,26
27,the-memphis-auto-accident-attorney.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,www.warshafsky.com,subdomains,98.100.211.167,NA,17,10784471,217,143,0,2,323,239,49,13382,13353,1433,27,373,0,0,0,107,6072,1838
29,www.davidalanwolf.com,subdomains,143.204.195.16,NA,4.3,32421833,67,37,0,1,314,154,27,15788,15788,14034,0,30,0,0,0,79,2188,631
30,the-salt-lake-city-auto-accident.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,bartdurham.com,subdomains,104.27.172.80,NA,13,14326764,201,106,0,1,239,204,526,19151,19145,5660,6,8595,0,0,0,4,2238,1453
32,www.gebhardlaw.com,subdomains,38.99.229.249,NA,30,4228561,68,32,0,0,76,73,60,413,412,262,1,23,0,0,0,0,168,16
33,www.dgoldlaw.com,subdomains,207.7.83.101,NA,8,22196333,179,76,0,1,184,154,21,11094,11081,1390,13,42,0,0,0,20,371,147
34,www.domnitzlaw.com,subdomains,104.197.10.75,NA,6,25330949,141,65,0,0,112,109,0,9419,9418,8999,1,21,0,0,0,0,0,0
35,www.matthardinlaw.com,subdomains,209.59.177.254,NA,23,7882212,252,119,0,3,395,290,104,27837,27809,4316,20,76,7,0,0,195,1661,1065
36,calljmb.com,subdomains,104.196.242.88,NA,8,22607524,78,37,0,1,214,144,48,9128,9124,4719,4,59,0,0,0,66,902,211
37,www.lanceandrewlaw.com,subdomains,199.250.220.97,NA,11,16989904,29,16,0,1,79,58,0,538,526,24,12,4,0,0,0,2,1,0
38,www.murphyprachthauser.com,subdomains,104.17.120.180,NA,17,11378128,155,102,0,1,294,202,298,12081,12028,1477,1,90,0,0,0,143,5402,1996
39,www.mitchgrissim.com,subdomains,192.252.149.29,NA,30,4216417,215,134,0,3,278,230,76,1643,1641,648,2,101,0,0,0,8,763,166
40,www.habush.com,subdomains,207.38.94.26,NA,42,1303937,706,357,0,3,646,524,146,158577,124330,24884,34227,764,2,0,0,211,4147,1335
41,injurysmartlaw.com,subdomains,167.172.115.235,NA,15,12753882,112,89,0,1,62,56,90,4655,4558,3780,97,746,0,0,0,4,271,50
42,www.pajcic.com,subdomains,104.239.245.56,NA,28,4754953,275,147,0,4,290,263,207,6740,6714,629,3,119,23,0,0,15,3267,1366
43,ripersonalinjuryattorneys.com,subdomains,199.250.199.223,NA,12,15046664,192,75,0,2,336,268,38,2211,2211,583,0,16,0,0,0,31,157,68
44,www.gnrinjuryattorneys.com,subdomains,162.144.127.124,NA,0,147796992,10,3,0,0,12,12,0,17,15,12,2,0,0,0,0,0,82,8
45,www.welcenbachlaw.com,subdomains,64.91.252.3,NA,13,14331235,137,83,0,3,270,191,42,9368,9355,5997,1,27,10,0,0,117,312,121
46,jacksonvillechristianinjurylawyer.com,subdomains,74.208.236.193,NA,8,21232934,80,22,0,0,57,54,47,400,393,135,7,8,0,0,0,0,161,7
47,rasmussenandminer.com,subdomains,98.129.229.208,NA,29,4586661,155,116,0,3,216,155,40,4125,4114,1311,1,88,0,0,0,79,462,134
48,www.rockylawfirm.com,subdomains,104.26.0.150,NA,32,3242288,458,204,0,12,399,331,406,33522,33450,15084,55,968,17,0,0,58,4739,1086
49,www.gkbm.com,subdomains,64.70.194.129,NA,21,8493592,242,113,0,3,280,238,119,3135,3129,1598,0,28,0,0,0,18,1279,486
50,www.glrinjuryattorneys.com,subdomains,35.237.231.95,NA,16,11658173,25,8,0,0,33,32,0,89,74,52,15,5,0,0,0,0,0,0
51,www.keithwilliamslawgroup.com,subdomains,198.71.233.254,NA,32,3348242,391,275,0,13,509,405,152,7810,7792,638,7,46,0,0,0,108,1080,92
52,www.rosenblumandreisman.com,subdomains,104.16.112.239,NA,11,16593977,111,34,0,0,90,88,65,9125,9118,1643,7,1141,0,0,0,0,495,222
53,www.grothlawfirm.com,subdomains,35.202.221.66,NA,33,3192495,233,159,0,1,340,269,4,5850,5802,2201,46,154,0,0,0,86,34,1
54,www.rothlawyer.com,subdomains,104.17.117.180,NA,12,15455066,634,125,0,11,612,497,74,7060,7060,5749,0,570,0,0,0,40,2656,1583
55,www.daniellawfirm.com,subdomains,104.28.0.170,NA,2.7,42021496,91,33,0,0,73,70,10,681,681,513,0,18,0,0,0,0,219,152
56,bottarolaw.com,subdomains,45.33.83.25,NA,27,5632865,272,159,0,1,351,301,232,13423,13229,1419,44,172,150,0,0,30,1444,568
57,www.actionlawoffices.com,subdomains,104.197.228.218,NA,8,20907923,129,72,0,0,202,157,51,4367,4330,3170,1,61,0,0,0,0,999,237
58,www.hagylaw.com,subdomains,64.41.137.180,NA,4.8,30506668,42,24,0,1,286,139,11,6943,6943,5208,0,69,0,0,0,73,143,11
